1,DS-01,ACCOUNTANT,1,,,,
2,DS-02,ADMIN ASSISTANT/RECEPTIONIST,1,,,,
3,DS-03,ADMINISTRATION ASSISTANT,1,,,,
4,DS-04,ADMINISTRATION MANAGER,1,,,,
5,DS-05,ASSISTANT STOREKEEPER,1,,,,
6,DS-06,ASST STOREKEEPER,1,,,,
7,DS-07,ASST STOREKEEPER-FMCG,1,,,,
8,DS-08,ASST. BRAND MANAGER,1,,,,
9,DS-09,BEAUTY CONSULTANT,1,,,,
10,DS-10,BEAUTY SUPERVISOR,1,,,,
11,DS-11,BRAND MANAGER,1,,,,
12,DS-12,BRAND OFFICER,1,,,,
13,DS-13,BRAND SUPERVIOR,1,,,,
14,DS-14,BUYER/SALES SUPERVISOR,1,,,,
15,DS-15,CARPENTER,1,,,,
16,DS-16,CASH COLLECTOR/CLERK,1,,,,
17,DS-17,CASHIER,1,,,,
18,DS-18,CHAIRMAN & CHIEF EXECUTIVE,1,,,,
19,DS-19,CHIEF ACCOUNTANT,2,,,,
20,DS-20,CHIEF EXECUTIVE OFFICER,1,,,,
21,DS-21,CLEANER,1,,,,
22,DS-22,COLOR STYLIST,1,,,,
23,DS-23,COMM'L & LOGISTIC COORDINATOR,1,,,,
24,DS-24,COMM'L & LOGISTIC SUPERVISOR,1,,,,
25,DS-25,COMPANY NURSE,1,,,,
26,DS-26,CUSTOM CLEARANCE OFFICER,1,,,,
27,DS-27,CUSTOMER SERVICE COORDINATOR,1,,,,
28,DS-28,DELIVERY MAN,1,,,,
29,DS-29,DISPLAY ARTIST,1,,,,
30,DS-30,DISTRIBUTION MANAGER,1,,,,
31,DS-31,DRIVER,1,,,,
32,DS-32,DRIVER/DELIVERY MAN,1,,,,
33,DS-33,ELECTRICAL/AC SUPERVISOR,1,,,,
34,DS-34,FINANCE MANAGER,1,,,,
35,DS-35,FMCG OFFICE MANAGER,1,,,,
36,DS-36,GEN. MANAGER-BEAUTY & RETAIL D,1,,,,
37,DS-37,GEN. MGR-AUDIT&OPER. BUSS DEV,1,,,,
38,DS-38,GENERAL SALES & MKTNG MANAGER,1,,,,
39,DS-39,GOVT & SERVICES RELATION MGR,1,,,,
40,DS-40,GRAPHIC DESIGNER,1,,,,
41,DS-41,HELPER - TOBACCO,1,,,,
42,DS-42,HELPER - VAN SALE,1,,,,
43,DS-43,HELPER/CLEANER,1,,,,
44,DS-44,HR MANAGER,1,,,,
45,DS-45,IT ASSISTANT MANAGER,1,,,,
46,DS-46,IT MANAGER,1,,,,
47,DS-47,JUNIOR ACCOUNTANT,1,,,,
48,DS-48,JUNIOR BEAUTY EXPERT,1,,,,
49,DS-49,LABOURER,1,,,,
50,DS-50,MARKETING & ADVTNG COORDINATOR,1,,,,
51,DS-51,MARKETING MANAGER,1,,,,
52,DS-52,MERCHANDISER,1,,,,
53,DS-53,MERCHANDISER - FERRERO,1,,,,
54,DS-54,OFFICE ASSISTANT,1,,,,
55,DS-55,PRESIDENT,1,,,,
56,DS-56,PRO - CLEARING SECTION,1,,,,
57,DS-57,PROGRAMMER & DATABASE ADMIN,1,,,,
58,DS-58,PROMOTER,1,,,,
59,DS-59,RETAIL & TRAINING MGR,1,,,,
60,DS-60,RETAIL SUPERVISOR,1,,,,
61,DS-61,SALE COORDINATOR,1,,,,
62,DS-62,SALE COORDINATOR- FERRERO,1,,,,
63,DS-63,SALES ANALYST,1,,,,
64,DS-64,SALES COORDINATOR,1,,,,
65,DS-65,SALES LADY,1,,,,
66,DS-66,SALES MAN - VAN,1,,,,
67,DS-67,SALES MANAGER,1,,,,
68,DS-68,SALES SUPERVISOR,1,,,,
69,DS-69,SALESMAN,1,,,,
70,DS-70,SALESMAN - VAN,1,,,,
71,DS-71,SECTION HEAD,1,,,,
72,DS-72,SENIOR ACCOUNTANT,1,,,,
73,DS-73,SENIOR BEAUTY CONSULTANT,1,,,,
74,DS-74,SENIOR SALES CORDINATOR,1,,,,
75,DS-75,SHOP COORDINATOR,1,,,,
76,DS-76,SHOP MANAGER,1,,,,
77,DS-77,SHOP SUPERVISOR,1,,,,
78,DS-78,SHOWROOM ASSISTANT,1,,,,
79,DS-79,SHOWROOM MANAGER,1,,,,
80,DS-80,SOFTWARE DEVELOPER,1,,,,
81,DS-81,SR. BRAND MANAGER,1,,,,
82,DS-82,SR. SUPPLY COORDINATOR,1,,,,
83,DS-83,STORE CLERK,1,,,,
84,DS-84,STORE CLERK - STORE,1,,,,
85,DS-85,STORES IN-CHARGE,1,,,,
86,DS-86,SUPERVISOR,1,,,,
87,DS-87,VAN SALESMAN,1,,,,
88,DS-88,VAN SALESMAN - FERRERO,1,,,,
89,DS-89,VAN SALESMAN - TOBACCO,1,,,,
90,DS-90,VAN SALESMAN-FODD DIV,1,,,,
91,DS-91,VAN SALESMAN-TOBACCO,1,,,,
92,DS-92,WATCHER,1,,,,
93,DS-93,WATCHER/HELPER,1,,,,
