id,transaction_no,transaction_date,doc_ref_no,effectivity_date,employee_id,basic_income,housing_allowances,car_allowances,petrol_allowances,food_allowances,others,incentive,mobile_allowances,total_gross_pay,remarks,hr_remarks,mngt_remarks,hr_approved_by,mngt_approved_by,status_id,created_on,created_by,updated_on,updated_by
1,,1985-01-01,,1985-01-01,1,1700,0,0,0,0,0,0,0,1700,,,,,,5,,,2020-02-23 19:47:58,17
2,,1986-01-01,,1986-01-01,1,2000,0,0,0,0,0,0,0,2000,,,,,,5,,,2020-02-23 19:47:58,17
3,,1986-03-18,,1986-03-18,1,2000,300,0,0,0,0,0,0,2300,,,,,,5,,,2020-02-23 19:47:58,17
4,,1986-10-01,,1986-10-01,1,2500,500,0,0,0,0,0,0,3000,,,,,,5,,,2020-02-23 19:47:58,17
5,,1988-10-24,,1988-10-24,1,2500,1000,0,0,0,0,0,0,3500,,,,,,5,,,2020-02-23 19:47:58,17
6,,1986-06-21,,1986-06-21,2,1000,300,0,0,0,0,0,0,1300,,,,,,5,,,2020-02-23 19:47:58,17
7,,1986-10-01,,1986-10-01,2,1200,300,0,0,0,0,0,0,1500,,,,,,5,,,2020-02-23 19:47:58,17
8,,1989-12-01,,1989-12-01,2,1200,0,0,0,0,0,0,0,1200,,,,,,5,,,2020-02-23 19:47:58,17
9,,1990-04-01,,1990-04-01,2,1300,0,0,0,0,0,0,0,1300,,,,,,5,,,2020-02-23 19:47:58,17
10,,1984-01-01,,1984-01-01,3,700,300,0,0,0,0,0,0,1000,,,,,,5,,,2020-02-23 19:47:58,17
11,,1985-01-01,,1985-01-01,3,850,300,0,0,0,0,0,0,1150,,,,,,5,,,2020-02-23 19:47:58,17
12,,1986-01-01,,1986-01-01,3,1000,300,0,0,0,0,0,0,1300,,,,,,5,,,2020-02-23 19:47:58,17
13,,1987-10-01,,1987-10-01,3,1200,300,0,0,0,0,0,0,1500,,,,,,5,,,2020-02-23 19:47:58,17
14,,1989-09-01,,1989-09-01,3,1200,300,0,0,0,150,0,0,1650,,,,,,5,,,2020-02-23 19:47:58,17
15,,1989-06-18,,1989-06-18,10,1820,0,0,0,0,0,0,0,1820,,,,,,5,,,2020-02-23 19:47:58,17
16,,1989-09-01,,1989-09-01,10,1820,0,0,100,0,0,0,0,1920,,,,,,5,,,2020-02-23 19:47:58,17
17,,1990-04-30,,1990-04-30,10,2170,0,0,100,0,0,0,0,2270,,,,,,5,,,2020-02-23 19:47:58,17
18,,1981-07-01,,1981-07-01,5,2650,0,0,0,0,0,0,0,2650,,,,,,5,,,2020-02-23 19:47:58,17
19,,1985-01-01,,1985-01-01,5,2650,250,0,0,0,0,0,0,2900,,,,,,5,,,2020-02-23 19:47:58,17
20,,1987-10-01,,1987-10-01,5,2650,400,0,0,0,0,0,0,3050,,,,,,5,,,2020-02-23 19:47:58,17
21,,1987-07-07,,1987-07-07,6,800,300,0,0,0,0,0,0,1100,,,,,,5,,,2020-02-23 19:47:58,17
22,,1989-12-01,,1989-12-01,6,800,0,0,0,0,0,0,0,800,,,,,,5,,,2020-02-23 19:47:58,17
23,,1990-04-01,,1990-04-01,6,900,0,0,0,0,0,0,0,900,,,,,,5,,,2020-02-23 19:47:58,17
24,,1987-07-07,,1987-07-07,7,800,300,0,0,0,0,0,0,1100,,,,,,5,,,2020-02-23 19:47:58,17
25,,1988-10-01,,1988-10-01,7,1000,300,0,0,0,0,0,0,1300,,,,,,5,,,2020-02-23 19:47:58,17
26,,1989-12-01,,1989-12-01,7,1000,0,0,0,0,0,0,0,1000,,,,,,5,,,2020-02-23 19:47:58,17
27,,1990-01-01,,1990-01-01,7,1300,0,0,0,0,0,0,0,1300,,,,,,5,,,2020-02-23 19:47:58,17
28,,1989-05-03,,1989-05-03,8,912.5,0,0,0,182.5,0,0,0,1095,,,,,,5,,,2020-02-23 19:47:58,17
29,,1989-05-23,,1989-05-23,9,1095,0,0,0,182.5,0,0,0,1277.5,,,,,,5,,,2020-02-23 19:47:58,17
30,,1990-04-01,,1990-04-01,9,1265,0,0,0,185,0,0,0,1450,,,,,,5,,,2020-02-23 19:47:58,17
31,,1989-06-28,,1989-06-28,15,1820,0,0,0,0,0,0,0,1820,,,,,,5,,,2020-02-23 19:47:58,17
32,,1983-07-01,,1983-07-01,11,1500,0,0,0,0,0,0,0,1500,,,,,,5,,,2020-02-23 19:47:58,17
33,,1983-11-01,,1983-11-01,11,1800,0,0,0,0,0,0,0,1800,,,,,,5,,,2020-02-23 19:47:58,17
34,,1983-12-01,,1983-12-01,11,1800,0,600,0,0,0,0,0,2400,,,,,,5,,,2020-02-23 19:47:58,17
35,,1985-01-01,,1985-01-01,11,1800,300,600,0,0,0,0,0,2700,,,,,,5,,,2020-02-23 19:47:58,17
36,,1990-04-01,,1990-04-01,11,1800,300,700,0,0,0,0,0,2800,,,,,,5,,,2020-02-23 19:47:58,17
37,,1985-01-06,,1985-01-06,12,1000,0,0,0,0,0,0,0,1000,,,,,,5,,,2020-02-23 19:47:58,17
38,,1986-10-01,,1986-10-01,12,1000,250,0,0,0,0,0,0,1250,,,,,,5,,,2020-02-23 19:47:58,17
39,,1987-05-20,,1987-05-20,12,1000,250,600,0,0,0,0,0,1850,,,,,,5,,,2020-02-23 19:47:58,17
